url,bilde,nosaukums,adrese,istabas,platiba,stavs,tips,cena
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dubulti/bciff.html,https://i.ss.com/gallery/7/1290/322319/64463676.th2.jpg,Pārdod dzīvokli Jūrmalā renovētā kompleksā ar 20 dzīvokļiem.,DubultiСлокас 55а,2,48,2/2,Renov.,81900
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/cfmdl.html,https://i.ss.com/gallery/7/1336/333950/66789926.th2.jpg,Tiek pārdots saulains divistabu dzīvoklis Kauguros mājā kas,KauguriEngures 10,2,35,2/5,Hrušč.,36000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/bulduri/ffxjf.html,https://i.ss.com/gallery/7/1323/330686/66137159.th2.jpg,"Tiek pārdots ekskluzīvs, mūsdienīgs un plašs 4-ist. penthaus",BulduriMeža pr. 20,4,191,3/3,Jaun.,500000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/pumpuri/boooxg.html,https://i.ss.com/gallery/7/1219/304632/60926336.th2.jpg,"Jauni un plaši 4 istabu apartamenti ar 2 balkoniem, 150 metr",PumpuriGaujas 4,4,138,2/4,Jaun.,408600
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/abhkn.html,https://i.ss.com/gallery/7/1336/333815/66762900.th2.jpg,"Gaišs, silts, sakopts dzīvoklis, atbrīvots un pilnībā gatavs",KauguriSkolas 27,2,50,2/9,602,42000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/pumpuri/boolpi.html,https://i.ss.com/gallery/7/1266/316431/63286173.th2.jpg,"Pārdod atsevišķu dzīvokli, kas atbilst pusei no koka dzīvoja",PumpuriPulkveža Brieža 46 k-2,5,160,1/2,Priv. m.,40000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/bulduri/fdbeh.html,https://i.ss.com/gallery/7/1326/331315/66262947.th2.jpg,"Pārdod 2 istabu dzīvokli pašā Bulduru centrā, 1.līnija no jū",BulduriBulduru pr. 33,2,81,1/4,Jaun.,250000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/bojno.html,https://i.ss.com/gallery/7/1326/331302/66260208.th2.jpg,Продается солнечная квартира из которой каждое утро видно мо,KauguriSkolas 65b,3,60,7/9,467,94000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/lielupe/afidk.html,https://i.ss.com/gallery/7/1222/305408/61081529.th2.jpg,Saulains studijas tipa dzīvoklis ar ideālu skatu uz upi (Aus,LielupeTīklu 11,1,45,1/4,Jaun.,110000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/lielupe/apbmd.html,https://i.ss.com/gallery/7/1336/333862/66772375.th2.jpg,Tikko izromentēts - Saulains studijas tipa dzīvoklis ar skat,LielupeTīklu 11,1,45,1/4,Jaun.,125000
